0.000	1
0.248	2
0.496	3
0.744	4
0.992	5
1.240	6
1.488	1
1.736	2
1.983	3
2.231	4
2.479	5
2.727	6
2.975	1
3.223	2
3.471	3
3.719	4
3.967	5
4.215	6
4.463	1
4.711	2
4.959	3
5.207	4
5.455	5
5.702	6
5.950	1
6.198	2
6.446	3
6.694	4
6.942	5
7.190	6
7.438	1
7.686	2
7.934	3
8.182	4
8.430	5
8.678	6
8.926	1
9.174	2
9.421	3
9.669	4
9.917	5
10.165	6
10.413	1
10.661	2
10.909	3
11.157	4
11.405	5
11.653	6
11.901	1
12.149	2
12.397	3
12.645	4
12.893	5
13.140	6
13.388	1
13.636	2
13.884	3
14.132	4
14.380	5
14.628	6
14.876	1
15.124	2
15.372	3
15.620	4
15.868	5
16.116	6
16.364	1
16.612	2
16.860	3
17.107	4
17.355	5
17.603	6
17.851	1
18.099	2
18.347	3
18.595	4
18.843	5
19.091	6
19.339	1
19.587	2
19.835	3
20.083	4
20.331	5
20.579	6
20.826	1
21.074	2
21.322	3
21.570	4
21.818	5
22.066	6
22.314	1
22.562	2
22.810	3
23.058	4
23.306	5
23.554	6
23.802	1
24.298	2
24.793	3
25.289	4
25.785	1
26.281	2
26.777	3
27.273	4
27.769	1
28.264	2
28.760	3
29.256	4
29.752	1
30.248	2
30.744	3
31.240	4
31.736	1
32.231	2
32.727	3
33.223	4
33.719	1
34.215	2
34.711	3
35.207	4
35.702	1
36.198	2
36.694	3
37.190	4
37.686	1
38.182	2
38.678	3
39.174	4
39.669	1
40.165	2
40.661	3
41.157	4
41.653	1
42.149	2
42.645	3
43.140	4
43.636	1
44.132	2
44.628	3
45.124	4
45.620	1
46.116	2
46.612	3
47.107	4
47.603	1
48.099	2
48.595	3
49.091	4
49.587	1
50.083	2
50.579	3
51.074	4
51.570	1
52.066	2
52.562	3
53.058	4
53.554	1
54.050	2
54.545	3
55.041	4
55.537	1
56.033	2
56.529	3
57.025	4
57.521	1
58.017	2
58.512	3
59.008	4
59.504	1
60.000	2
60.496	3
60.992	4
61.488	1
61.983	2
62.479	3
62.975	4
63.471	1
63.967	2
64.463	3
64.959	4
65.455	1
65.950	2
66.446	3
66.942	4
67.438	1
67.934	2
68.430	3
68.926	4
69.421	1
69.917	2
70.413	3
70.909	4
71.405	1
71.901	2
72.397	3
72.893	4
73.388	1
73.884	2
74.380	3
74.876	4
75.372	1
75.868	2
76.364	3
76.860	4
77.355	1
77.851	2
78.347	3
78.843	4
79.339	1
79.835	2
80.331	3
80.826	4
81.322	1
81.818	2
82.314	3
82.810	4
83.306	1
83.802	2
84.298	3
84.793	4
85.289	1
85.785	2
86.281	3
86.777	4
87.273	1
87.769	2
88.264	3
88.760	4
89.256	1
89.752	2
90.248	3
90.744	4
91.240	1
91.736	2
92.231	3
92.727	4
93.223	1
93.719	2
94.215	3
94.711	4
95.207	1
95.702	2
96.198	3
96.694	4
97.190	1
97.686	2
98.182	3
98.678	4
99.174	1
99.669	2
100.165	3
100.661	4
101.157	1
101.653	2
102.149	3
102.645	4
103.140	1
103.636	2
104.132	3
104.628	4
105.124	1
105.620	2
106.116	3
106.612	4
107.107	1
107.603	2
108.099	3
108.595	4
109.091	1
109.587	2
110.083	3
110.579	4
111.074	1
111.570	2
112.066	3
112.562	4
113.058	1
113.554	2
114.050	3
114.545	4
115.041	1
115.537	2
116.033	3
116.529	4
117.025	1
117.521	2
118.017	3
118.512	4
119.008	1
119.504	2
120.000	3
120.496	4
120.992	1
121.488	2
121.983	3
122.479	4
122.975	1
123.471	2
123.967	3
124.463	4
124.959	1
125.455	2
125.950	3
126.446	4
126.942	1
127.438	2
127.934	3
128.430	4
128.926	1
129.421	2
129.917	3
130.413	4
130.909	1
131.405	2
131.901	3
132.397	4
132.893	1
133.388	2
133.884	3
134.380	4
134.876	1
135.372	2
135.868	3
136.364	4
136.860	1
137.355	2
137.851	3
138.347	4
138.843	1
139.339	2
139.835	3
140.331	4
140.826	1
141.322	2
141.818	3
142.314	4
142.810	1
143.306	2
143.802	3
144.298	4
144.793	1
145.289	2
145.785	3
146.281	4
146.777	1
147.273	2
147.769	3
148.264	4
148.760	1
149.256	2
149.752	3
150.248	4
150.744	1
151.240	2
151.736	3
152.231	4
152.727	1
153.223	2
153.719	3
154.215	4
154.711	1
155.207	2
155.702	3
156.198	4
156.694	1
157.190	2
157.686	3
158.182	4
158.678	1
159.174	2
159.669	3
160.165	4
160.661	1
161.157	2
161.653	3
162.149	4
162.645	1
163.140	2
163.636	3
164.132	4
164.628	1
165.124	2
165.620	3
166.116	4
166.612	1
167.107	2
167.603	3
168.099	4
168.595	1
169.091	2
169.587	3
170.083	4
170.579	1
171.074	2
171.570	3
172.066	4
172.562	1
173.058	2
173.554	3
174.050	4
174.545	1
175.041	2
175.537	3
176.033	4
176.529	1
177.025	2
177.521	3
178.017	4
178.512	1
179.008	2
179.504	3
180.000	4
180.496	1
180.992	2
181.488	3
181.983	4
182.479	1
182.975	2
183.471	3
183.967	4
184.463	1
184.959	2
185.455	3
185.950	4
186.446	1
186.942	2
187.438	3
187.934	4
188.430	1
188.926	2
189.421	3
189.917	4
190.413	1
190.909	2
191.405	3
191.901	4
192.397	1
192.893	2
193.388	3
193.884	4
